event_id,time,activity,lifecycle,msg_id,msg_payload,msg_role,x,y,z,robot,casename
144,2022-12-16T22:33:53.284367,weed_position!,start,m_18,{weed: {x:6.809836790481844; y: 9.957262323579117} },send,6.809.836.790.481.840,9.957.262.323.579.110,14.419.233.413.077.400,drone,1
145,2022-12-16T22:33:53.304367,weed_position?,start,m_18,{weed: {x:6.809836790481844; y: 9.957262323579117} },receive,25.366.555.226.967.800,7.005.137.277.147.280,0.0,tractor_2,1
146,2022-12-16T22:33:53.304367,weed_position?,start,m_18,{weed: {x:6.809836790481844; y: 9.957262323579117} },receive,0.0,0.0,0.0,tractor_1,1
150,2022-12-16T22:34:03.294367,tractor_position!,start,m_19,{ header: tractor_1; position: {x:4.615992792285467; y: 8.872537954026573} },send,0.0,0.0,0.0,tractor_1,1
151,2022-12-16T22:34:03.307367,tractor_position?,start,m_19,{ header: tractor_1; position: {x:4.615992792285467; y: 8.872537954026573} },receive,6.809.836.790.481.840,9.957.262.323.579.110,14.419.233.413.077.400,drone,1
154,2022-12-16T22:34:03.350367,tractor_position!,start,m_20,{ header: tractor_2; position: {x:3.163263757408154; y: 7.700152597379749} },send,25.366.555.226.967.800,7.005.137.277.147.280,0.0,tractor_2,1
155,2022-12-16T22:34:03.364367,tractor_position?,start,m_20,{ header: tractor_2; position: {x:3.163263757408154; y: 7.700152597379749} },receive,6.809.836.790.481.840,9.957.262.323.579.110,14.419.233.413.077.400,drone,1
158,2022-12-16T22:34:03.411367,select_closest_tractor,start,,,,6.809.836.790.481.840,9.957.262.323.579.110,14.419.233.413.077.400,drone,1
160,2022-12-16T22:34:03.433367,closest_tractor!,start,m_21,{ name: tractor_1 },send,6.809.836.790.481.840,9.957.262.323.579.110,14.419.233.413.077.400,drone,1
161,2022-12-16T22:34:03.442367,closest_tractor?,start,m_21,{ name: tractor_1 },receive,3.163.263.757.408.150,7.700.152.597.379.740,0.0,tractor_2,1
163,2022-12-16T22:34:03.443367,explore,start,,,,6.809.836.790.481.840,9.957.262.323.579.110,14.500.178.044.185.400,drone,1
164,2022-12-16T22:34:03.446367,closest_tractor?,start,m_21,{ name: tractor_1 },receive,4.615.992.792.285.460,8.872.537.954.026.570,0.0,tractor_1,1
166,2022-12-16T22:34:03.450367,move,start,,,,4.615.992.792.285.460,8.872.537.954.026.570,0.0,tractor_1,1
169,2022-12-16T22:34:03.471367,cut_grass,start,,,,6.809.836.790.481.840,9.957.262.323.579.110,0.0,tractor_1,1
172,2022-12-16T22:34:22.549367,weed_found,start,,,,774.539.736.299.507,8.959.338.381.644.640,14.500.178.044.185.400,drone,1
174,2022-12-16T22:34:32.572367,weed_position!,start,m_22,{weed: {x:7.74539736299507; y: 8.959338381644649} },send,774.539.736.299.507,8.959.338.381.644.640,14.500.178.044.185.400,drone,1
175,2022-12-16T22:34:32.587367,weed_position?,start,m_22,{weed: {x:7.74539736299507; y: 8.959338381644649} },receive,3.163.263.757.408.150,7.700.152.597.379.740,0.0,tractor_2,1
178,2022-12-16T22:34:42.595367,tractor_position!,start,m_23,{ header: tractor_2; position: {x:3.163263757408154; y: 7.700152597379749} },send,3.163.263.757.408.150,7.700.152.597.379.740,0.0,tractor_2,1
179,2022-12-16T22:34:42.608367,tractor_position?,start,m_23,{ header: tractor_2; position: {x:3.163263757408154; y: 7.700152597379749} },receive,774.539.736.299.507,8.959.338.381.644.640,14.500.178.044.185.400,drone,1
182,2022-12-16T22:34:42.672367,select_closest_tractor,start,,,,774.539.736.299.507,8.959.338.381.644.640,14.500.178.044.185.400,drone,1
184,2022-12-16T22:34:42.695367,closest_tractor!,start,m_24,{ name: tractor_2 },send,774.539.736.299.507,8.959.338.381.644.640,14.500.178.044.185.400,drone,1
185,2022-12-16T22:34:42.706367,explore,start,,,,774.539.736.299.507,8.959.338.381.644.640,14.274.485.391.768.800,drone,1
187,2022-12-16T22:34:42.710367,closest_tractor?,start,m_24,{ name: tractor_2 },receive,3.163.263.757.408.150,7.700.152.597.379.740,0.0,tractor_2,1
188,2022-12-16T22:34:42.710367,closest_tractor?,start,m_24,{ name: tractor_2 },receive,4.615.992.792.285.460,8.872.537.954.026.570,0.0,tractor_1,1
190,2022-12-16T22:34:42.724367,move,start,,,,3.163.263.757.408.150,7.700.152.597.379.740,0.0,tractor_2,1
193,2022-12-16T22:34:42.774367,cut_grass,start,,,,774.539.736.299.507,8.959.338.381.644.640,0.0,tractor_2,1
196,2022-12-16T22:34:57.818367,weed_found,start,,,,8.879.041.748.163.930,987.270.648.578.018,14.274.485.391.768.800,drone,1
198,2022-12-16T22:35:07.854367,weed_position!,start,m_25,{weed: {x:8.879041748163932; y: 9.872706485780181} },send,8.879.041.748.163.930,987.270.648.578.018,14.274.485.391.768.800,drone,1
200,2022-12-16T22:35:27.854367,weed_position!,start,m_25,{weed: {x:8.879041748163932; y: 9.872706485780181} },send,8.879.041.748.163.930,987.270.648.578.018,14.274.485.391.768.800,drone,1
202,2022-12-16T22:35:47.854367,weed_position!,start,m_25,{weed: {x:8.879041748163932; y: 9.872706485780181} },send,8.879.041.748.163.930,987.270.648.578.018,14.274.485.391.768.800,drone,1
204,2022-12-16T22:36:07.854367,weed_position!,start,m_25,{weed: {x:8.879041748163932; y: 9.872706485780181} },send,8.879.041.748.163.930,987.270.648.578.018,14.274.485.391.768.800,drone,1
206,2022-12-16T22:36:27.854367,weed_position!,start,m_26,{weed: {x:8.879041748163932; y: 9.872706485780181} },send,8.879.041.748.163.930,987.270.648.578.018,14.274.485.391.768.800,drone,1
208,2022-12-16T22:36:47.854367,weed_position!,start,m_26,{weed: {x:8.879041748163932; y: 9.872706485780181} },send,8.879.041.748.163.930,987.270.648.578.018,14.274.485.391.768.800,drone,1
209,2022-12-16T22:36:47.873367,weed_position?,start,m_26,{weed: {x:8.879041748163932; y: 9.872706485780181} },receive,3.163.263.757.408.150,7.700.152.597.379.740,0.0,tractor_2,1
210,2022-12-16T22:36:47.874367,weed_position?,start,m_26,{weed: {x:8.879041748163932; y: 9.872706485780181} },receive,4.615.992.792.285.460,8.872.537.954.026.570,0.0,tractor_1,1
214,2022-12-16T22:36:57.864367,tractor_position!,start,m_27,{ header: tractor_1; position: {x:6.809836790481844; y: 9.957262323579117} },send,4.615.992.792.285.460,8.872.537.954.026.570,0.0,tractor_1,1
215,2022-12-16T22:36:57.883367,tractor_position?,start,m_27,{ header: tractor_1; position: {x:6.809836790481844; y: 9.957262323579117} },receive,8.879.041.748.163.930,987.270.648.578.018,14.274.485.391.768.800,drone,1
218,2022-12-16T22:36:57.928367,tractor_position!,start,m_28,{ header: tractor_2; position: {x:7.74539736299507; y: 8.959338381644649} },send,3.163.263.757.408.150,7.700.152.597.379.740,0.0,tractor_2,1
219,2022-12-16T22:36:57.938367,tractor_position?,start,m_28,{ header: tractor_2; position: {x:7.74539736299507; y: 8.959338381644649} },receive,8.879.041.748.163.930,987.270.648.578.018,14.274.485.391.768.800,drone,1
222,2022-12-16T22:36:57.988367,select_closest_tractor,start,,,,8.879.041.748.163.930,987.270.648.578.018,14.274.485.391.768.800,drone,1
224,2022-12-16T22:36:58.012367,closest_tractor!,start,m_29,{ name: tractor_2 },send,8.879.041.748.163.930,987.270.648.578.018,14.274.485.391.768.800,drone,1
225,2022-12-16T22:36:58.017367,closest_tractor?,start,m_29,{ name: tractor_2 },receive,6.809.836.790.481.840,9.957.262.323.579.110,0.0,tractor_1,1
226,2022-12-16T22:36:58.024367,explore,start,,,,8.879.041.748.163.930,987.270.648.578.018,14.756.307.774.992.900,drone,1
228,2022-12-16T22:36:58.029367,closest_tractor?,start,m_29,{ name: tractor_2 },receive,774.539.736.299.507,8.959.338.381.644.640,0.0,tractor_2,1
229,2022-12-16T22:36:58.039367,move,start,,,,774.539.736.299.507,8.959.338.381.644.640,0.0,tractor_2,1
233,2022-12-16T22:36:58.085367,cut_grass,start,,,,8.879.041.748.163.930,987.270.648.578.018,0.0,tractor_2,1
236,2022-12-16T22:37:17.153367,weed_found,start,,,,8.519.964.088.798.430,8.951.852.175.520.260,14.756.307.774.992.900,drone,1
238,2022-12-16T22:37:27.190367,weed_position!,start,m_30,{weed: {x:8.519964088798432; y: 8.951852175520266} },send,8.519.964.088.798.430,8.951.852.175.520.260,14.756.307.774.992.900,drone,1
240,2022-12-16T22:37:47.190367,weed_position!,start,m_30,{weed: {x:8.519964088798432; y: 8.951852175520266} },send,8.519.964.088.798.430,8.951.852.175.520.260,14.756.307.774.992.900,drone,1
241,2022-12-16T22:37:47.205367,weed_position?,start,m_30,{weed: {x:8.519964088798432; y: 8.951852175520266} },receive,774.539.736.299.507,8.959.338.381.644.640,0.0,tractor_2,1
242,2022-12-16T22:37:47.206367,weed_position?,start,m_30,{weed: {x:8.519964088798432; y: 8.951852175520266} },receive,6.809.836.790.481.840,9.957.262.323.579.110,0.0,tractor_1,1
246,2022-12-16T22:37:57.212367,tractor_position!,start,m_31,{ header: tractor_1; position: {x:6.809836790481844; y: 9.957262323579117} },send,6.809.836.790.481.840,9.957.262.323.579.110,0.0,tractor_1,1
247,2022-12-16T22:37:57.226367,tractor_position?,start,m_31,{ header: tractor_1; position: {x:6.809836790481844; y: 9.957262323579117} },receive,8.519.964.088.798.430,8.951.852.175.520.260,14.756.307.774.992.900,drone,1
250,2022-12-16T22:37:57.274367,tractor_position!,start,m_32,{ header: tractor_2; position: {x:8.879041748163932; y: 9.872706485780181} },send,774.539.736.299.507,8.959.338.381.644.640,0.0,tractor_2,1
251,2022-12-16T22:37:57.286367,tractor_position?,start,m_32,{ header: tractor_2; position: {x:8.879041748163932; y: 9.872706485780181} },receive,8.519.964.088.798.430,8.951.852.175.520.260,14.756.307.774.992.900,drone,1
254,2022-12-16T22:37:57.333367,select_closest_tractor,start,,,,8.519.964.088.798.430,8.951.852.175.520.260,14.756.307.774.992.900,drone,1
256,2022-12-16T22:37:57.355367,closest_tractor!,start,m_33,{ name: tractor_2 },send,8.519.964.088.798.430,8.951.852.175.520.260,14.756.307.774.992.900,drone,1
258,2022-12-16T22:37:57.365367,explore,start,,,,8.519.964.088.798.430,8.951.852.175.520.260,147.192.526.099.654,drone,1
259,2022-12-16T22:37:57.372367,closest_tractor?,start,m_33,{ name: tractor_2 },receive,8.879.041.748.163.930,987.270.648.578.018,0.0,tractor_2,1
261,2022-12-16T22:37:57.376367,closest_tractor?,start,m_33,{ name: tractor_2 },receive,6.809.836.790.481.840,9.957.262.323.579.110,0.0,tractor_1,1
262,2022-12-16T22:37:57.384367,move,start,,,,8.879.041.748.163.930,987.270.648.578.018,0.0,tractor_2,1
265,2022-12-16T22:37:57.416367,cut_grass,start,,,,8.519.964.088.798.430,8.951.852.175.520.260,0.0,tractor_2,1
